Pair (Low-High),Intermediaries,Part of Speech,Hint,Gradability Type,Cloze Example
susurrar-gritar,murmurar;hablar;alzar la voz;vociferar;chillar,Verb,Esto escala el volumen de producción de sonido.,Volume,El niño _____ 'mamá' desde la habitación.
caminar-correr,pasear;marchar;trotar;esprintar;galopar,Verb,Esto aumenta la velocidad de locomoción.,Velocity,Yo _____ al trabajo cada día.
tocar-golpear,rozar;palmear;abofetear;pegar;azotar,Verb,Esto construye la fuerza del contacto físico.,Force,El guerrero _____ al enemigo con la espada.
comer-devorar,mordisquear;masticar;engullir;tragar;zampar,Verb,Esto eleva la intensidad de la ingestión de comida.,Consumption Rate,El animal _____ la carne con avidez.
mirar-observar fijamente,ojear;contemplar;escudriñar;clavar la vista;quedarse mirando,Verb,Esto intensifica la duración de la observación visual.,Duration,El detective _____ al sospechoso desde lejos.
mover-precipitarse,desplazar;proceder;apresurarse;lanzarse;acelerar,Verb,Esto aumenta la urgencia del desplazamiento.,Urgency,La multitud se _____ hacia la salida.
calentar-hervir,entibiar;cocer a fuego lento;escaldar;chamuscar;burbujear,Verb,Esto acelera el aumento de temperatura.,Temperature,La cocinera _____ el caldo en la olla.
enfriar-congelar,refrescar;refrigerar;helar;solidificar;escarchar,Verb,Esto profundiza la caída de temperatura.,Temperature,El científico _____ la muestra en el laboratorio.
crecer-expandir,brotar;desarrollar;agrandar;hinchar;inflar,Verb,Esto amplifica el aumento de tamaño.,Magnitude,La empresa _____ su presencia en el mercado.
encoger-colapsar,disminuir;contraer;arrugar;implotar;desinflar,Verb,Esto intensifica la reducción de tamaño.,Magnitude,La tela _____ al lavarla con agua caliente.
sugerir-ordenar,insinuar;proponer;instar;mandar;dictar,Verb,Esto formaliza el tono del discurso directivo.,Formality,El jefe _____ terminar el proyecto a tiempo.
charlar-discursar,conversar;dialogar;debatir;disertar;orar,Verb,Esto eleva el registro de la comunicación.,Formality,El profesor _____ sobre el tema en clase.
gustar-adorar,disfrutar;apreciar;querer;venerar;idolatrar,Verb,Esto profundiza el nivel de apego emocional.,Affective Depth,Todos deberían _____ la vida que tienen.
disgustar-despreciar,desagradar;detestar;aborrecer;abominar;odiar,Verb,Esto intensifica la respuesta emocional negativa.,Affective Depth,Nadie debería _____ a los demás sin razón.
imaginar-visualizar,figurar;conceptualizar;fantasear;soñar;alucinar,Verb,Esto abstrae el proceso de creación mental.,Abstraction,El artista _____ la obra antes de crearla.
describir-alegorizar,retratar;ilustrar;simbolizar;metaforizar;poetizar,Verb,Esto poetiza el modo de representación.,Poetic Complexity,El escritor _____ la escena con detalles vívidos.
mascullar-proclamar,balbucear;anunciar;declarar;difundir;pregonar,Verb,Esto formaliza la manera de expresión vocal.,Formality,El líder _____ la victoria a la multitud.
sentir-empatizar,percibir;simpatizar;conectar;identificarse;internalizar,Verb,Esto profundiza la comprensión emocional.,Affective Depth,Yo _____ con tu dolor en este momento.
pensar-filosofar,reflexionar;meditar;teorizar;especular;contemplar,Verb,Esto abstrae la profundidad de la cognición.,Abstraction,Los sabios _____ sobre el universo.
susurrar-cantar,murmurar;recitar;entonar;vocalizar;salmodiar,Verb,Esto poetiza el estilo de la expresión.,Poetic Complexity,El coro _____ la melodía en la iglesia.
gota-océano,charco;estanque;lago;mar;río,Noun,Esto expande el volumen del cuerpo de agua.,Quantity,El _____ de agua se extendía hasta el horizonte.
chispa-infierno,llama;fuego;llamarada;conflagración;incendio forestal,Noun,Esto intensifica la escala del evento de fuego.,Magnitude,La _____ quemó todo a su paso.
susurro-rugido,murmullo;voz;grito;bramido;trueno,Noun,Esto aumenta el volumen de emisión de sonido.,Volume,El _____ del animal asustó a todos.
guijarro-peñasco,piedra;roca;peña;monolito;montaña,Noun,Esto aumenta el tamaño del objeto de roca.,Magnitude,El _____ bloqueaba el camino.
brote-bosque,retoño;arbusto;árbol;arboleda;selva,Noun,Esto aumenta la extensión de la colección de plantas.,Quantity,El _____ cubría la ladera de la colina.
colina-montaña,loma;cerro;cordillera;pico;cumbre,Noun,Esto eleva la altura de la formación terrestre.,Magnitude,La _____ dominaba el paisaje.
goteo-inundación,arroyo;río;torrente;diluvio;desbordamiento,Noun,Esto amplifica el flujo del volumen de agua.,Flow Rate,El _____ destruyó las casas cercanas.
mota-montón,grano;pila;cúmulo;apilamiento;cerro,Noun,Esto multiplica la cantidad de partículas pequeñas.,Quantity,El _____ de arena formaba una duna.
ramita-tronco,rama;palo;extremidad;leño;viga,Noun,Esto engrosa el tamaño de la pieza de madera.,Magnitude,El _____ sostenía el techo de la casa.
sorbo-trago,probada;deglución;bebida;lingotazo;traguetazo,Noun,Esto aumenta la cantidad de ingesta de líquido.,Quantity,Tomé un _____ de agua para refrescarme.
compadre-señor,amigo;compañero;colega;caballero;excelencia,Noun,Esto formaliza el término de tratamiento.,Formality,Llamé a mi _____ para pedir consejo.
charla-simposio,conversación;plática;discusión;conferencia;coloquio,Noun,Esto eleva el nivel de reunión de discurso.,Formality,La _____ duró toda la tarde.
cariño-pasión,agrado;afecto;amor;devoción;obsesión,Noun,Esto profundiza la intensidad del vínculo emocional.,Affective Depth,Siento un _____ profundo por mi familia.
molestia-furia,irritación;enojo;rabia;ira;odio,Noun,Esto escala el estado emocional negativo.,Affective Depth,La _____ me invadió de repente.
cosa-concepto,objeto;artículo;idea;noción;abstracción,Noun,Esto abstrae la naturaleza de la entidad.,Abstraction,La _____ era difícil de entender.
cuento-épica,relato;narrativa;poema;balada;saga,Noun,Esto poetiza la forma de la obra literaria.,Poetic Complexity,Leí una _____ antes de dormir.
murmullo-oratoria,susurro;discurso;alocución;conferencia;sermón,Noun,Esto formaliza el tipo de entrega vocal.,Formality,El _____ llenó la sala de expectación.
capricho-fervor,antojo;deseo;entusiasmo;ardor;manía,Noun,Esto intensifica el impulso emocional.,Affective Depth,Tengo un _____ por el chocolate.
hecho-teoría,dato;información;hipótesis;paradigma;metafísica,Noun,Esto abstrae el nivel de conocimiento.,Abstraction,El _____ cambió nuestra comprensión.
copla-soneto,tonada;canción;verso;oda;elegía,Noun,Esto poetiza el estilo de composición.,Poetic Complexity,Compuse una _____ para la ocasión.
pequeño-gigantesco,chico;mediano;grande;enorme;colosal,Adjective,Esto escala el grado de tamaño físico.,Magnitude,El edificio era _____ comparado con los demás.
fresco-abrasador,templado;tibio;caliente;ardiente;incandescente,Adjective,Esto intensifica el nivel de calor.,Temperature,El día estaba _____ para salir.
